time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
4.294159912172275e-07	1.889998e-02	-1.956904e-07
8.588319824344551e-07	3.777721e-02	-4.032900e-08
1.288247973651683e-06	5.663169e-02	4.660843e-07
1.717663964868910e-06	7.546342e-02	1.323549e-06
2.147079956086138e-06	9.427240e-02	2.532067e-06
2.576495947303365e-06	1.130586e-01	4.091635e-06
3.005911938520592e-06	1.318221e-01	6.002256e-06
3.982474438520592e-06	1.742641e-01	1.341100e-05
4.959036938520592e-06	2.163846e-01	2.481240e-05
5.935599438520592e-06	2.581060e-01	4.130043e-05
6.912161938520592e-06	2.993514e-01	6.373203e-05
7.888724438520592e-06	3.400445e-01	9.291508e-05
8.865286938520593e-06	3.801104e-01	1.296085e-04
9.841849438520594e-06	4.194752e-01	1.745224e-04
1.081841193852059e-05	4.580663e-01	2.283183e-04
1.179497443852060e-05	4.958124e-01	2.916091e-04
1.277153693852060e-05	5.326440e-01	3.649598e-04
1.472466193852060e-05	6.032936e-01	5.438600e-04
1.667778693852060e-05	6.694940e-01	7.685832e-04
1.863091193852060e-05	7.307571e-01	1.041942e-03
2.156059943852060e-05	8.124166e-01	1.547511e-03
2.449028693852061e-05	8.806058e-01	2.170982e-03
2.741997443852061e-05	9.341941e-01	2.912823e-03
3.034966193852061e-05	9.722931e-01	3.770177e-03
3.327934943852061e-05	9.942709e-01	4.737075e-03
3.620903693852061e-05	9.997633e-01	5.804683e-03
3.913872443852062e-05	9.886791e-01	6.961568e-03
4.206841193852062e-05	9.612020e-01	8.194009e-03
4.499809943852062e-05	9.177878e-01	9.486316e-03
4.792778693852062e-05	8.591563e-01	1.082118e-02
5.085747443852063e-05	7.862794e-01	1.218004e-02
5.378716193852063e-05	7.003657e-01	1.354345e-02
5.671684943852063e-05	6.028396e-01	1.489147e-02
5.964653693852063e-05	4.953181e-01	1.620402e-02
6.257622443852063e-05	3.795840e-01	1.746130e-02
6.550591193852063e-05	2.575561e-01	1.864415e-02
6.843559943852064e-05	1.312579e-01	1.973435e-02
7.038872443852064e-05	4.571892e-02	2.040130e-02
7.234184943852064e-05	-4.015726e-02	2.101491e-02
7.527153693852064e-05	-1.682188e-01	2.182616e-02
7.820122443852064e-05	-2.934912e-01	2.249528e-02
8.113091193852065e-05	-4.138974e-01	2.301180e-02
8.406059943852065e-05	-5.274409e-01	2.336768e-02
8.699028693852065e-05	-6.322392e-01	2.355739e-02
8.991997443852065e-05	-7.265547e-01	2.357809e-02
9.284966193852066e-05	-8.088235e-01	2.342965e-02
9.577934943852066e-05	-8.776817e-01	2.311466e-02
9.870903693852066e-05	-9.319875e-01	2.263843e-02
1.016387244385207e-04	-9.708404e-01	2.200885e-02
1.045684119385207e-04	-9.935963e-01	2.123632e-02
1.074980994385207e-04	-9.998779e-01	2.033358e-02
1.104277869385207e-04	-9.895811e-01	1.931546e-02
1.133574744385207e-04	-9.628765e-01	1.819869e-02
1.162871619385207e-04	-9.202069e-01	1.700160e-02
1.192168494385207e-04	-8.622799e-01	1.574382e-02
1.221465369385207e-04	-7.900558e-01	1.444597e-02
1.250762244385207e-04	-7.047322e-01	1.312932e-02
1.270293494385207e-04	-6.412627e-01	1.225175e-02
1.289824744385207e-04	-5.730640e-01	1.138179e-02
1.309355994385207e-04	-5.006391e-01	1.052577e-02
1.319121619385207e-04	-4.630076e-01	1.010494e-02
1.328887244385207e-04	-4.245220e-01	9.689911e-03
1.338652869385207e-04	-3.852535e-01	9.281447e-03
1.348418494385207e-04	-3.452743e-01	8.880286e-03
1.358184119385207e-04	-3.046582e-01	8.487156e-03
1.367949744385207e-04	-2.634802e-01	8.102770e-03
1.377715369385207e-04	-2.218162e-01	7.727825e-03
1.387480994385207e-04	-1.797430e-01	7.363001e-03
1.397246619385207e-04	-1.373383e-01	7.008957e-03
1.407012244385207e-04	-9.468021e-02	6.666335e-03
1.416777869385207e-04	-5.184752e-02	6.335754e-03
1.426543494385207e-04	-8.919202e-03	6.017811e-03
1.436309119385207e-04	3.402557e-02	5.713080e-03
1.446074744385207e-04	7.690758e-02	5.422110e-03
1.455840369385207e-04	1.196477e-01	5.145425e-03
1.465605994385207e-04	1.621672e-01	4.883521e-03
1.475371619385207e-04	2.043875e-01	4.636871e-03
1.485137244385207e-04	2.462309e-01	4.405914e-03
1.494902869385207e-04	2.876200e-01	4.191064e-03
1.504668494385207e-04	3.284786e-01	3.992705e-03
1.514434119385207e-04	3.687313e-01	3.811188e-03
1.524199744385207e-04	4.083039e-01	3.646835e-03
1.533965369385207e-04	4.471234e-01	3.499936e-03
1.553496619385207e-04	5.222180e-01	3.259497e-03
1.573027869385207e-04	5.934613e-01	3.091536e-03
1.592559119385207e-04	6.603281e-01	2.997183e-03
1.612090369385207e-04	7.223250e-01	2.977023e-03
1.631621619385207e-04	7.789950e-01	3.031096e-03
1.651152869385207e-04	8.299200e-01	3.158892e-03
1.680449744385207e-04	8.947266e-01	3.486367e-03
1.709746619385207e-04	9.446982e-01	3.971417e-03
1.739043494385207e-04	9.790062e-01	4.605624e-03
1.768340369385207e-04	9.970818e-01	5.378092e-03
1.797637244385207e-04	9.986253e-01	6.275634e-03
1.826934119385207e-04	9.836112e-01	7.282987e-03
1.856230994385207e-04	9.522882e-01	8.383066e-03
