time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.440218791449757e-06	4.524751e-03	-4.351169e-07
2.880437582899514e-06	9.049194e-03	-1.090269e-08
4.320656374349272e-06	1.357333e-02	1.272643e-06
5.760875165799029e-06	1.809715e-02	3.415519e-06
7.201093957248786e-06	2.262067e-02	6.417727e-06
8.641312748698544e-06	2.714387e-02	1.027927e-05
1.008153154014830e-05	3.166677e-02	1.500014e-05
1.348931812819817e-05	4.236526e-02	3.467924e-05
1.827919204316216e-05	5.739422e-02	8.216450e-05
2.490672997056506e-05	7.816698e-02	1.949071e-04
3.454147765304232e-05	1.083024e-01	4.585146e-04
4.430710265304232e-05	1.387458e-01	8.571926e-04
5.407272765304232e-05	1.690586e-01	1.410578e-03
6.383835265304231e-05	1.992124e-01	2.127793e-03
7.360397765304231e-05	2.291786e-01	3.013708e-03
8.336960265304230e-05	2.589291e-01	4.070678e-03
9.313522765304230e-05	2.884359e-01	5.299379e-03
1.029008526530423e-04	3.176713e-01	6.699346e-03
1.126664776530423e-04	3.466077e-01	8.269324e-03
1.224321026530423e-04	3.752179e-01	1.000750e-02
1.321977276530423e-04	4.034749e-01	1.191163e-02
1.419633526530423e-04	4.313522e-01	1.397916e-02
1.517289776530423e-04	4.588235e-01	1.620728e-02
1.614946026530423e-04	4.858630e-01	1.859297e-02
1.712602276530423e-04	5.124452e-01	2.113300e-02
1.810258526530424e-04	5.385451e-01	2.382398e-02
2.005571026530424e-04	5.892003e-01	2.964453e-02
2.200883526530424e-04	6.376379e-01	3.602460e-02
2.396196026530424e-04	6.836755e-01	4.293209e-02
2.689164776530424e-04	7.478556e-01	5.420727e-02
2.982133526530424e-04	8.057051e-01	6.646995e-02
3.205347812244711e-04	8.455771e-01	7.655686e-02
3.428562097958996e-04	8.809242e-01	8.692144e-02
3.651776383673282e-04	9.117463e-01	9.756368e-02
3.874990669387568e-04	9.380434e-01	1.084836e-01
4.098204955101854e-04	9.598155e-01	1.196812e-01
4.321419240816140e-04	9.770626e-01	1.311564e-01
4.544633526530426e-04	9.897847e-01	1.429093e-01
4.837602276530426e-04	9.984334e-01	1.585443e-01
5.130571026530427e-04	9.988284e-01	1.737349e-01
5.423539776530427e-04	9.909699e-01	1.884811e-01
5.716508526530427e-04	9.748577e-01	2.027829e-01
6.009477276530428e-04	9.504920e-01	2.166403e-01
6.302446026530428e-04	9.178727e-01	2.300533e-01
6.595414776530427e-04	8.769997e-01	2.430220e-01
6.818629062244713e-04	8.406146e-01	2.521291e-01
7.041843347958999e-04	8.006408e-01	2.605303e-01
7.265057633673285e-04	7.570785e-01	2.682255e-01
7.488271919387571e-04	7.099275e-01	2.752148e-01
7.711486205101857e-04	6.591879e-01	2.814980e-01
7.934700490816143e-04	6.048597e-01	2.870753e-01
8.157914776530428e-04	5.469429e-01	2.919467e-01
8.450883526530429e-04	4.676845e-01	2.969260e-01
8.743852276530429e-04	3.844671e-01	3.004001e-01
8.939164776530429e-04	3.271360e-01	3.018557e-01
9.036821026530429e-04	2.979951e-01	3.023211e-01
9.232133526530429e-04	2.388995e-01	3.027216e-01
9.329789776530429e-04	2.089291e-01	3.026554e-01
9.427446026530429e-04	1.788333e-01	3.024098e-01
9.525102276530430e-04	1.486120e-01	3.019850e-01
9.622758526530430e-04	1.182652e-01	3.013809e-01
9.720414776530429e-04	8.779292e-02	3.005975e-01
9.818071026530429e-04	5.719518e-02	2.996348e-01
9.915727276530429e-04	2.647197e-02	2.984928e-01
1.020869602653043e-03	-6.551683e-02	2.939977e-01
1.036215584795900e-03	-1.138026e-01	2.909905e-01
1.051561566938757e-03	-1.615503e-01	2.875697e-01
1.066907549081614e-03	-2.087597e-01	2.837350e-01
1.082253531224472e-03	-2.554311e-01	2.794867e-01
1.097599513367329e-03	-3.015643e-01	2.748245e-01
1.112945495510186e-03	-3.471593e-01	2.697487e-01
1.128291477653043e-03	-3.922162e-01	2.642591e-01
1.154798174081614e-03	-4.685060e-01	2.537215e-01
1.181304870510186e-03	-5.403936e-01	2.422943e-01
1.207811566938757e-03	-6.078789e-01	2.299773e-01
1.234318263367329e-03	-6.709621e-01	2.167707e-01
1.260824959795900e-03	-7.296430e-01	2.026744e-01
1.287331656224472e-03	-7.839217e-01	1.876885e-01
1.313838352653043e-03	-8.337982e-01	1.718128e-01
1.336159781224472e-03	-8.707422e-01	1.580091e-01
1.358481209795900e-03	-9.030759e-01	1.440190e-01
1.380802638367329e-03	-9.307992e-01	1.298427e-01
1.403124066938758e-03	-9.539120e-01	1.154801e-01
1.425445495510186e-03	-9.724144e-01	1.009313e-01
1.447766924081615e-03	-9.863065e-01	8.619609e-02
1.470088352653043e-03	-9.955881e-01	7.127464e-02
1.481249066938758e-03	-9.982641e-01	6.388810e-02
1.492409781224472e-03	-9.997129e-01	5.654205e-02
1.503570495510186e-03	-9.999347e-01	4.923650e-02
1.514731209795901e-03	-9.989294e-01	4.197145e-02
1.525891924081615e-03	-9.966970e-01	3.474689e-02
1.537052638367329e-03	-9.932375e-01	2.756283e-02
1.548213352653043e-03	-9.885508e-01	2.041926e-02
1.557978977653043e-03	-9.834571e-01	1.424314e-02
1.567744602653043e-03	-9.774379e-01	8.125349e-03
1.577510227653043e-03	-9.704987e-01	2.071203e-03
1.587275852653043e-03	-9.626461e-01	-3.914032e-03
1.597041477653043e-03	-9.538875e-01	-9.825156e-03
1.616572727653043e-03	-9.336861e-01	-2.140461e-02
1.636103977653043e-03	-9.099706e-01	-3.262697e-02
1.655635227653043e-03	-8.828301e-01	-4.345337e-02
1.684932102653043e-03	-8.359244e-01	-5.886908e-02
1.714228977653044e-03	-7.819426e-01	-7.319058e-02
1.743525852653044e-03	-7.213415e-01	-8.630745e-02
1.772822727653044e-03	-6.546341e-01	-9.811930e-02
1.802119602653044e-03	-5.823851e-01	-1.085366e-01
1.831416477653044e-03	-5.052061e-01	-1.174813e-01
1.860713352653044e-03	-4.237505e-01	-1.248880e-01
1.890010227653044e-03	-3.387077e-01	-1.307036e-01
