time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
8.977910484662099e-07	5.641333e-03	-2.350777e-07
1.795582096932420e-06	1.128206e-02	-3.131310e-08
2.693373145398630e-06	1.692219e-02	6.112938e-07
3.591164193864840e-06	2.256171e-02	1.692743e-06
4.488955242331050e-06	2.820063e-02	3.213035e-06
5.386746290797259e-06	3.383894e-02	5.172168e-06
6.284537339263468e-06	3.947665e-02	7.570145e-06
8.322476983751427e-06	5.226784e-02	1.720385e-05
1.118614905747167e-05	7.022680e-02	4.048868e-05
1.499787606263445e-05	9.409503e-02	9.381757e-05
2.039483210678536e-05	1.277941e-01	2.233458e-04
2.792272044541008e-05	1.745450e-01	5.257346e-04
3.768834544541008e-05	2.345959e-01	1.138445e-03
4.745397044541008e-05	2.937639e-01	2.026562e-03
5.721959544541008e-05	3.518262e-01	3.225713e-03
6.698522044541008e-05	4.085643e-01	4.747079e-03
7.675084544541007e-05	4.637647e-01	6.594282e-03
8.651647044541007e-05	5.172195e-01	8.765622e-03
9.628209544541006e-05	5.687277e-01	1.125554e-02
1.060477204454101e-04	6.180953e-01	1.405559e-02
1.158133454454101e-04	6.651366e-01	1.715506e-02
1.255789704454101e-04	7.096744e-01	2.054140e-02
1.353445954454101e-04	7.515411e-01	2.420056e-02
1.451102204454101e-04	7.905793e-01	2.811716e-02
1.548758454454101e-04	8.266419e-01	3.227467e-02
1.646414704454101e-04	8.595931e-01	3.665556e-02
1.841727204454101e-04	9.156779e-01	4.601286e-02
2.037039704454101e-04	9.579900e-01	5.603229e-02
2.232352204454101e-04	9.858931e-01	6.654695e-02
2.427664704454102e-04	9.989673e-01	7.738255e-02
2.622977204454102e-04	9.970163e-01	8.836006e-02
2.818289704454102e-04	9.800691e-01	9.929853e-02
3.013602204454102e-04	9.483808e-01	1.100178e-01
3.208914704454102e-04	9.024280e-01	1.203410e-01
3.404227204454103e-04	8.429018e-01	1.300978e-01
3.599539704454103e-04	7.706975e-01	1.391261e-01
3.794852204454103e-04	6.869013e-01	1.472753e-01
3.990164704454103e-04	5.927735e-01	1.544081e-01
4.185477204454103e-04	4.897298e-01	1.604026e-01
4.380789704454103e-04	3.793200e-01	1.651542e-01
4.478445954454103e-04	3.218682e-01	1.670364e-01
4.576102204454104e-04	2.632050e-01	1.685772e-01
4.673758454454104e-04	2.035511e-01	1.697693e-01
4.771414704454104e-04	1.431311e-01	1.706062e-01
4.869070954454104e-04	8.217239e-02	1.710832e-01
4.966727204454103e-04	2.090439e-02	1.711967e-01
5.162039704454104e-04	-1.016367e-01	1.703261e-01
5.357352204454104e-04	-2.226492e-01	1.679940e-01
5.552664704454104e-04	-3.403127e-01	1.642221e-01
5.747977204454104e-04	-4.528577e-01	1.590539e-01
5.943289704454104e-04	-5.585912e-01	1.525541e-01
6.138602204454104e-04	-6.559231e-01	1.448075e-01
6.333914704454105e-04	-7.433892e-01	1.359180e-01
6.529227204454105e-04	-8.196741e-01	1.260066e-01
6.724539704454105e-04	-8.836303e-01	1.152100e-01
6.919852204454105e-04	-9.342958e-01	1.036783e-01
7.115164704454105e-04	-9.709088e-01	9.157288e-02
7.310477204454105e-04	-9.929183e-01	7.906377e-02
7.505789704454106e-04	-9.999934e-01	6.632729e-02
7.701102204454106e-04	-9.920276e-01	5.354331e-02
