v1	I(D1)
2.680000000000002e-01	3.164473e-10
2.690000000000002e-01	3.289123e-10
2.700000000000002e-01	3.418686e-10
2.710000000000002e-01	3.553357e-10
2.720000000000002e-01	3.693335e-10
2.730000000000002e-01	3.838831e-10
2.740000000000002e-01	3.990062e-10
2.750000000000002e-01	4.147254e-10
2.760000000000002e-01	4.310642e-10
2.770000000000002e-01	4.480471e-10
2.780000000000002e-01	4.656994e-10
2.790000000000002e-01	4.840474e-10
2.800000000000002e-01	5.031187e-10
2.810000000000002e-01	5.229417e-10
2.820000000000002e-01	5.435461e-10
2.830000000000002e-01	5.649627e-10
2.840000000000002e-01	5.872235e-10
2.850000000000002e-01	6.103617e-10
2.860000000000002e-01	6.344120e-10
2.870000000000002e-01	6.594103e-10
2.880000000000002e-01	6.853940e-10
2.890000000000002e-01	7.124019e-10
2.900000000000002e-01	7.404744e-10
2.910000000000002e-01	7.696535e-10
2.920000000000002e-01	7.999827e-10
2.930000000000002e-01	8.315075e-10
2.940000000000002e-01	8.642749e-10
2.950000000000002e-01	8.983340e-10
2.960000000000002e-01	9.337356e-10
2.970000000000002e-01	9.705327e-10
2.980000000000002e-01	1.008780e-09
2.990000000000002e-01	1.048535e-09
3.000000000000002e-01	1.089858e-09
3.010000000000002e-01	1.132809e-09
3.020000000000002e-01	1.177453e-09
3.030000000000002e-01	1.223857e-09
3.040000000000002e-01	1.272091e-09
3.050000000000002e-01	1.322225e-09
3.060000000000002e-01	1.374336e-09
3.070000000000002e-01	1.428501e-09
3.080000000000002e-01	1.484801e-09
3.090000000000002e-01	1.543320e-09
3.100000000000002e-01	1.604146e-09
3.110000000000002e-01	1.667370e-09
3.120000000000002e-01	1.733086e-09
3.130000000000002e-01	1.801392e-09
3.140000000000002e-01	1.872392e-09
3.150000000000002e-01	1.946189e-09
3.160000000000002e-01	2.022896e-09
3.170000000000002e-01	2.102626e-09
3.180000000000002e-01	2.185500e-09
3.190000000000002e-01	2.271640e-09
3.200000000000002e-01	2.361175e-09
3.210000000000002e-01	2.454240e-09
3.220000000000002e-01	2.550974e-09
3.230000000000002e-01	2.651521e-09
3.240000000000002e-01	2.756031e-09
3.250000000000002e-01	2.864661e-09
3.260000000000002e-01	2.977573e-09
3.270000000000002e-01	3.094936e-09
3.280000000000002e-01	3.216925e-09
3.290000000000002e-01	3.343723e-09
3.300000000000002e-01	3.475519e-09
3.310000000000002e-01	3.612511e-09
3.320000000000002e-01	3.754902e-09
3.330000000000002e-01	3.902907e-09
3.340000000000002e-01	4.056746e-09
3.350000000000002e-01	4.216649e-09
3.360000000000002e-01	4.382855e-09
3.370000000000002e-01	4.555613e-09
3.380000000000002e-01	4.735181e-09
3.390000000000002e-01	4.921827e-09
3.400000000000002e-01	5.115831e-09
3.410000000000002e-01	5.317482e-09
3.420000000000002e-01	5.527083e-09
3.430000000000002e-01	5.744945e-09
3.440000000000003e-01	5.971396e-09
3.450000000000003e-01	6.206773e-09
3.460000000000003e-01	6.451428e-09
3.470000000000003e-01	6.705728e-09
3.480000000000003e-01	6.970052e-09
3.490000000000003e-01	7.244795e-09
3.500000000000003e-01	7.530369e-09
3.510000000000003e-01	7.827200e-09
3.520000000000003e-01	8.135731e-09
3.530000000000003e-01	8.456425e-09
3.540000000000003e-01	8.789760e-09
3.550000000000003e-01	9.136236e-09
3.560000000000003e-01	9.496368e-09
3.570000000000003e-01	9.870698e-09
3.580000000000003e-01	1.025978e-08
3.590000000000003e-01	1.066421e-08
3.600000000000003e-01	1.108457e-08
3.610000000000003e-01	1.152150e-08
3.620000000000003e-01	1.197566e-08
3.630000000000003e-01	1.244772e-08
3.640000000000003e-01	1.293840e-08
3.650000000000003e-01	1.344841e-08
3.660000000000003e-01	1.397852e-08
3.670000000000003e-01	1.452954e-08
3.680000000000003e-01	1.510227e-08
3.690000000000003e-01	1.569758e-08
3.700000000000003e-01	1.631636e-08
3.710000000000003e-01	1.695953e-08
3.720000000000003e-01	1.762805e-08
3.730000000000003e-01	1.832292e-08
3.740000000000003e-01	1.904519e-08
3.750000000000003e-01	1.979593e-08
3.760000000000003e-01	2.057626e-08
3.770000000000003e-01	2.138735e-08
3.780000000000003e-01	2.223041e-08
3.790000000000003e-01	2.310671e-08
3.800000000000003e-01	2.401755e-08
3.810000000000003e-01	2.496430e-08
3.820000000000003e-01	2.594837e-08
3.830000000000003e-01	2.697122e-08
3.840000000000003e-01	2.803440e-08
3.850000000000003e-01	2.913949e-08
3.860000000000003e-01	3.028814e-08
3.870000000000003e-01	3.148207e-08
3.880000000000003e-01	3.272306e-08
3.890000000000003e-01	3.401297e-08
3.900000000000003e-01	3.535373e-08
3.910000000000003e-01	3.674734e-08
3.920000000000003e-01	3.819589e-08
3.930000000000003e-01	3.970153e-08
3.940000000000003e-01	4.126653e-08
3.950000000000003e-01	4.289322e-08
3.960000000000003e-01	4.458404e-08
3.970000000000003e-01	4.634150e-08
3.980000000000003e-01	4.816825e-08
3.990000000000003e-01	5.006700e-08
4.000000000000003e-01	5.204060e-08
4.010000000000003e-01	5.409200e-08
4.020000000000003e-01	5.622426e-08
4.030000000000003e-01	5.844058e-08
4.040000000000003e-01	6.074426e-08
4.050000000000003e-01	6.313875e-08
4.060000000000003e-01	6.562763e-08
4.070000000000003e-01	6.821463e-08
4.080000000000003e-01	7.090360e-08
4.090000000000003e-01	7.369856e-08
4.100000000000003e-01	7.660370e-08
4.110000000000003e-01	7.962337e-08
4.120000000000003e-01	8.276206e-08
4.130000000000003e-01	8.602449e-08
4.140000000000003e-01	8.941551e-08
4.150000000000003e-01	9.294020e-08
4.160000000000003e-01	9.660385e-08
4.170000000000003e-01	1.004119e-07
4.180000000000003e-01	1.043701e-07
4.190000000000003e-01	1.084843e-07
4.200000000000003e-01	1.127606e-07
4.210000000000003e-01	1.172056e-07
4.220000000000003e-01	1.218258e-07
4.230000000000003e-01	1.266281e-07
4.240000000000003e-01	1.316197e-07
4.250000000000003e-01	1.368080e-07
4.260000000000003e-01	1.422009e-07
4.270000000000003e-01	1.478064e-07
4.280000000000003e-01	1.536328e-07
4.290000000000003e-01	1.596889e-07
4.300000000000003e-01	1.659837e-07
4.310000000000003e-01	1.725267e-07
4.320000000000003e-01	1.793276e-07
4.330000000000003e-01	1.863966e-07
4.340000000000003e-01	1.937442e-07
4.350000000000003e-01	2.013815e-07
4.360000000000003e-01	2.093199e-07
4.370000000000003e-01	2.175711e-07
4.380000000000003e-01	2.261476e-07
4.390000000000003e-01	2.350622e-07
4.400000000000003e-01	2.443282e-07
4.410000000000003e-01	2.539595e-07
4.420000000000003e-01	2.639705e-07
4.430000000000003e-01	2.743760e-07
4.440000000000003e-01	2.851918e-07
