time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
2.148774679133578e-06	1.350120e-03	-2.640206e-07
4.297549358267156e-06	2.700231e-03	1.055172e-08
6.446324037400733e-06	4.050334e-03	8.237168e-07
8.595098716534311e-06	5.400429e-03	2.175475e-06
1.074387339566789e-05	6.750516e-03	4.065826e-06
1.289264807480147e-05	8.100594e-03	6.494769e-06
1.504142275393504e-05	9.450664e-03	9.462306e-06
2.026813892547440e-05	1.273450e-02	2.198237e-05
2.792265411840763e-05	1.754342e-02	5.340035e-05
3.876274429550211e-05	2.435294e-02	1.298013e-04
5.552533508863102e-05	3.488052e-02	3.335133e-04
8.235962815536969e-05	5.172499e-02	9.078116e-04
1.320514323563481e-04	8.287520e-02	2.828626e-03
2.297076823563481e-04	1.438290e-01	8.953081e-03
3.273639323563481e-04	2.042415e-01	1.790646e-02
4.250201823563480e-04	2.638853e-01	2.989725e-02
5.226764323563480e-04	3.225358e-01	4.469601e-02
6.203326823563480e-04	3.799725e-01	6.207377e-02
7.179889323563480e-04	4.359789e-01	8.180209e-02
8.156451823563479e-04	4.903445e-01	1.036534e-01
9.133014323563479e-04	5.428645e-01	1.274011e-01
1.010957682356348e-03	5.933413e-01	1.528202e-01
1.108613932356348e-03	6.415849e-01	1.796874e-01
1.206270182356348e-03	6.874137e-01	2.077815e-01
1.303926432356348e-03	7.306552e-01	2.368838e-01
1.401582682356348e-03	7.711467e-01	2.667785e-01
1.499238932356348e-03	8.087358e-01	2.972533e-01
1.596895182356348e-03	8.432810e-01	3.280993e-01
1.694551432356349e-03	8.746523e-01	3.591121e-01
1.792207682356349e-03	9.027316e-01	3.900917e-01
1.889863932356349e-03	9.274132e-01	4.208434e-01
1.987520182356349e-03	9.486042e-01	4.511778e-01
2.085176432356349e-03	9.662249e-01	4.809114e-01
2.182832682356349e-03	9.802089e-01	5.098673e-01
2.280488932356349e-03	9.905037e-01	5.378752e-01
2.378145182356349e-03	9.970704e-01	5.647721e-01
2.475801432356349e-03	9.998844e-01	5.904025e-01
2.573457682356349e-03	9.989350e-01	6.146190e-01
2.671113932356349e-03	9.942259e-01	6.372824e-01
2.768770182356349e-03	9.857748e-01	6.582624e-01
2.866426432356350e-03	9.736134e-01	6.774376e-01
2.964082682356350e-03	9.577875e-01	6.946958e-01
3.061738932356350e-03	9.383568e-01	7.099346e-01
3.159395182356350e-03	9.153942e-01	7.230612e-01
3.257051432356350e-03	8.889863e-01	7.339931e-01
3.354707682356350e-03	8.592325e-01	7.426579e-01
3.452363932356350e-03	8.262448e-01	7.489935e-01
3.550020182356350e-03	7.901472e-01	7.529483e-01
3.647676432356350e-03	7.510757e-01	7.544817e-01
3.842988932356350e-03	6.646098e-01	7.501734e-01
4.038301432356350e-03	5.681475e-01	7.359548e-01
4.233613932356349e-03	4.631398e-01	7.118814e-01
4.428926432356348e-03	3.511660e-01	6.781755e-01
4.624238932356348e-03	2.339103e-01	6.352203e-01
4.819551432356347e-03	1.131364e-01	5.835525e-01
5.014863932356346e-03	-9.339148e-03	5.238521e-01
5.210176432356346e-03	-1.316742e-01	4.569313e-01
5.405488932356345e-03	-2.520289e-01	3.837209e-01
5.600801432356344e-03	-3.685927e-01	3.052548e-01
