time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
2.521570517984061e-06	7.921757e-04	-2.044114e-07
5.043141035968122e-06	1.584350e-03	1.396672e-08
7.564711553952183e-06	2.376522e-03	6.551344e-07
1.008628207193624e-05	3.168693e-03	1.719092e-06
1.260785258992030e-05	3.960862e-03	3.205838e-06
1.512942310790437e-05	4.753029e-03	5.115374e-06
1.765099362588842e-05	5.545195e-03	7.447700e-06
2.398046689963904e-05	7.533615e-03	1.756055e-05
3.322806406951394e-05	1.043871e-02	4.288640e-05
4.675111645241480e-05	1.468677e-02	1.065822e-04
6.815195847130581e-05	2.140893e-02	2.817772e-04
1.045604321138888e-04	3.284272e-02	8.171424e-04
1.773773793990547e-04	5.569591e-02	2.784149e-03
3.230112739693865e-04	1.013029e-01	9.484275e-03
5.183237739693864e-04	1.621176e-01	2.311151e-02
7.136362739693864e-04	2.223220e-01	4.177713e-02
9.089487739693863e-04	2.816897e-01	6.518678e-02
1.104261273969386e-03	3.399972e-01	9.268744e-02
1.299573773969386e-03	3.970250e-01	1.236758e-01
1.494886273969386e-03	4.525585e-01	1.575929e-01
1.690198773969386e-03	5.063887e-01	1.939200e-01
1.885511273969386e-03	5.583129e-01	2.321741e-01
2.080823773969386e-03	6.081358e-01	2.719050e-01
2.276136273969386e-03	6.556697e-01	3.126923e-01
2.471448773969387e-03	7.007359e-01	3.541427e-01
2.666761273969387e-03	7.431647e-01	3.958881e-01
2.862073773969387e-03	7.827964e-01	4.375838e-01
3.057386273969387e-03	8.194818e-01	4.789068e-01
3.252698773969387e-03	8.530828e-01	5.195546e-01
3.448011273969387e-03	8.834731e-01	5.592444e-01
3.643323773969388e-03	9.105381e-01	5.977119e-01
3.838636273969388e-03	9.341761e-01	6.347104e-01
4.033948773969388e-03	9.542981e-01	6.700108e-01
4.229261273969388e-03	9.708284e-01	7.034006e-01
4.424573773969388e-03	9.837046e-01	7.346836e-01
4.619886273969388e-03	9.928784e-01	7.636799e-01
4.815198773969388e-03	9.983152e-01	7.902250e-01
5.010511273969388e-03	9.999946e-01	8.141704e-01
5.205823773969389e-03	9.979102e-01	8.353828e-01
5.401136273969389e-03	9.920699e-01	8.537440e-01
5.596448773969389e-03	9.824957e-01	8.691512e-01
5.791761273969389e-03	9.692236e-01	8.815166e-01
5.987073773969389e-03	9.523035e-01	8.907672e-01
6.182386273969389e-03	9.317993e-01	8.968447e-01
6.377698773969390e-03	9.077879e-01	8.997056e-01
6.768323773969390e-03	8.496183e-01	8.956755e-01
7.158948773969390e-03	7.786695e-01	8.786150e-01
7.549573773969391e-03	6.960089e-01	8.486847e-01
7.940198773969391e-03	6.028797e-01	8.062599e-01
8.330823773969390e-03	5.006826e-01	7.519199e-01
8.721448773969388e-03	3.909548e-01	6.864361e-01
9.112073773969387e-03	2.753466e-01	6.107572e-01
9.502698773969386e-03	1.555970e-01	5.259936e-01
9.893323773969384e-03	3.350705e-02	4.333980e-01
1.028394877396938e-02	-8.908688e-02	3.343459e-01
1.067457377396938e-02	-2.103409e-01	2.303137e-01
1.106519877396938e-02	-3.284311e-01	1.228554e-01
1.145582377396938e-02	-4.415815e-01	1.357906e-02
1.184644877396938e-02	-5.480900e-01	-9.587815e-02
1.223707377396938e-02	-6.463548e-01	-2.038750e-01
1.262769877396937e-02	-7.348978e-01	-3.087910e-01
1.301832377396937e-02	-8.123872e-01	-4.090514e-01
1.340894877396937e-02	-8.776576e-01	-5.031505e-01
1.379957377396937e-02	-9.297272e-01	-5.896748e-01
1.419019877396937e-02	-9.678128e-01	-6.673245e-01
1.458082377396937e-02	-9.913417e-01	-7.349329e-01
1.497144877396937e-02	-9.999598e-01	-7.914838e-01
1.536207377396936e-02	-9.935375e-01	-8.361276e-01
1.575269877396936e-02	-9.721717e-01	-8.681931e-01
1.614332377396936e-02	-9.361833e-01	-8.871987e-01
1.653394877396936e-02	-8.861140e-01	-8.928588e-01
1.692457377396936e-02	-8.227167e-01	-8.850884e-01
1.731519877396936e-02	-7.469449e-01	-8.640048e-01
1.770582377396936e-02	-6.599383e-01	-8.299251e-01
1.809644877396935e-02	-5.630057e-01	-7.833621e-01
1.848707377396935e-02	-4.576050e-01	-7.250162e-01
1.887769877396935e-02	-3.453215e-01	-6.557652e-01
1.926832377396935e-02	-2.278440e-01	-5.766506e-01
1.965894877396935e-02	-1.069395e-01	-4.888625e-01
2.004957377396935e-02	1.557343e-02	-3.937212e-01
2.044019877396935e-02	1.378521e-01	-2.926579e-01
2.083082377396935e-02	2.580574e-01	-1.871928e-01
2.122144877396934e-02	3.743813e-01	-7.891195e-02
2.161207377396934e-02	4.850741e-01	3.055581e-02
2.200269877396934e-02	5.884709e-01	1.395640e-01
2.239332377396934e-02	6.830167e-01	2.464731e-01
2.278394877396934e-02	7.672892e-01	3.496750e-01
2.317457377396934e-02	8.400209e-01	4.476175e-01
2.356519877396934e-02	9.001180e-01	5.388275e-01
2.395582377396933e-02	9.466764e-01	6.219330e-01
2.434644877396933e-02	9.789960e-01	6.956840e-01
2.473707377396933e-02	9.965905e-01	7.589713e-01
2.512769877396933e-02	9.991954e-01	8.108430e-01
2.551832377396933e-02	9.867715e-01	8.505188e-01
2.590894877396933e-02	9.595056e-01	8.774021e-01
2.629957377396933e-02	9.178078e-01	8.910884e-01
2.669019877396932e-02	8.623053e-01	8.913719e-01
2.708082377396932e-02	7.938330e-01	8.782483e-01
2.747144877396932e-02	7.134207e-01	8.519151e-01
2.786207377396932e-02	6.222779e-01	8.127683e-01
2.825269877396932e-02	5.217755e-01	7.613968e-01
2.864332377396932e-02	4.134250e-01	6.985731e-01
2.903394877396932e-02	2.988563e-01	6.252421e-01
2.942457377396931e-02	1.797925e-01	5.425070e-01
2.981519877396931e-02	5.802441e-02	4.516121e-01
3.020582377396931e-02	-6.461640e-02	3.539245e-01
3.059644877396931e-02	-1.862853e-01	2.509135e-01
3.098707377396931e-02	-3.051523e-01	1.441286e-01
3.137769877396931e-02	-4.194295e-01	3.517583e-02
3.176832377396931e-02	-5.273982e-01	-7.430600e-02
3.215894877396932e-02	-6.274343e-01	-1.826702e-01
3.254957377396932e-02	-7.180331e-01	-2.882869e-01
3.294019877396933e-02	-7.978321e-01	-3.895674e-01
3.333082377396934e-02	-8.656309e-01	-4.849885e-01
3.372144877396934e-02	-9.204099e-01	-5.731150e-01
3.411207377396935e-02	-9.613450e-01	-6.526213e-01
3.450269877396935e-02	-9.878206e-01	-7.223115e-01
3.489332377396936e-02	-9.994385e-01	-7.811374e-01
3.528394877396936e-02	-9.960238e-01	-8.282143e-01
3.567457377396937e-02	-9.776281e-01	-8.628342e-01
3.606519877396937e-02	-9.445279e-01	-8.844762e-01
3.645582377396938e-02	-8.972211e-01	-8.928149e-01
3.684644877396939e-02	-8.364193e-01	-8.877248e-01
3.723707377396939e-02	-7.630370e-01	-8.692825e-01
3.762769877396940e-02	-6.781779e-01	-8.377653e-01
3.801832377396940e-02	-5.831184e-01	-7.936474e-01
3.840894877396941e-02	-4.792882e-01	-7.375923e-01
3.879957377396941e-02	-3.682491e-01	-6.704431e-01
3.919019877396942e-02	-2.516711e-01	-5.932099e-01
3.958082377396942e-02	-1.313078e-01	-5.070542e-01
3.997144877396943e-02	-8.969512e-03	-4.132719e-01
4.036207377396944e-02	1.135037e-01	-3.132737e-01
4.075269877396944e-02	2.342697e-01	-2.085635e-01
4.114332377396945e-02	3.515121e-01	-1.007163e-01
4.153394877396945e-02	4.634674e-01	8.645719e-03
4.192457377396946e-02	5.684517e-01	1.178777e-01
4.231519877396946e-02	6.648860e-01	2.253367e-01
4.270582377396947e-02	7.513198e-01	3.294065e-01
4.309644877396947e-02	8.264530e-01	4.285216e-01
4.348707377396948e-02	8.891556e-01	5.211914e-01
4.387769877396949e-02	9.384844e-01	6.060220e-01
4.426832377396949e-02	9.736977e-01	6.817374e-01
4.465894877396950e-02	9.942656e-01	7.471989e-01
4.504957377396950e-02	9.998787e-01	8.014219e-01
4.544019877396951e-02	9.904528e-01	8.435906e-01
4.583082377396951e-02	9.661296e-01	8.730710e-01
4.622144877396952e-02	9.272748e-01	8.894196e-01
4.661207377396952e-02	8.744730e-01	8.923905e-01
4.700269877396953e-02	8.085184e-01	8.819391e-01
4.739332377396954e-02	7.304028e-01	8.582224e-01
4.778394877396954e-02	6.413013e-01	8.215972e-01
4.817457377396955e-02	5.425540e-01	7.726145e-01
4.856519877396955e-02	4.356462e-01	7.120110e-01
4.895582377396956e-02	3.221859e-01	6.406981e-01
4.934644877396956e-02	2.038796e-01	5.597485e-01
4.973707377396957e-02	8.250681e-02	4.703798e-01
5.012769877396957e-02	-4.010699e-02	3.739362e-01
5.051832377396958e-02	-1.621176e-01	2.718682e-01
5.090894877396959e-02	-2.816897e-01	1.657110e-01
5.129957377396959e-02	-3.970250e-01	5.706142e-02
5.169019877396960e-02	-5.063887e-01	-5.244644e-02
5.208082377396960e-02	-6.081358e-01	-1.611654e-01
5.247144877396961e-02	-7.007359e-01	-2.674604e-01
5.286207377396961e-02	-7.827964e-01	-3.697324e-01
5.325269877396962e-02	-8.530828e-01	-4.664434e-01
5.364332377396962e-02	-9.105381e-01	-5.561386e-01
5.403394877396963e-02	-9.542981e-01	-6.374690e-01
5.442457377396964e-02	-9.837046e-01	-7.092112e-01
5.481519877396964e-02	-9.983152e-01	-7.702863e-01
5.520582377396965e-02	-9.979102e-01	-8.197756e-01
5.559644877396965e-02	-9.824957e-01	-8.569345e-01
5.598707377396966e-02	-9.523035e-01	-8.812045e-01
5.637769877396966e-02	-9.077879e-01	-8.922204e-01
5.676832377396967e-02	-8.496183e-01	-8.898163e-01
5.715894877396967e-02	-7.786695e-01	-8.740286e-01
5.754957377396968e-02	-6.960089e-01	-8.450947e-01
5.794019877396969e-02	-6.028797e-01	-8.034499e-01
5.833082377396969e-02	-5.006826e-01	-7.497203e-01
5.872144877396970e-02	-3.909548e-01	-6.847143e-01
5.911207377396970e-02	-2.753466e-01	-6.094096e-01
5.950269877396971e-02	-1.555970e-01	-5.249387e-01
5.989332377396971e-02	-3.350705e-02	-4.325723e-01
6.028394877396972e-02	8.908688e-02	-3.336996e-01
6.067457377396972e-02	2.103409e-01	-2.298077e-01
6.106519877396973e-02	3.284311e-01	-1.224593e-01
6.145582377396974e-02	4.415815e-01	-1.326905e-02
6.184644877396974e-02	5.480900e-01	9.612080e-02
6.223707377396975e-02	6.463548e-01	2.040649e-01
6.262769877396974e-02	7.348978e-01	3.089397e-01
6.301832377396975e-02	8.123872e-01	4.091678e-01
6.340894877396976e-02	8.776576e-01	5.032415e-01
6.379957377396976e-02	9.297272e-01	5.897461e-01
6.419019877396977e-02	9.678128e-01	6.673803e-01
6.458082377396977e-02	9.913417e-01	7.349765e-01
6.497144877396978e-02	9.999598e-01	7.915180e-01
6.536207377396978e-02	9.935375e-01	8.361543e-01
6.575269877396979e-02	9.721717e-01	8.682141e-01
6.614332377396979e-02	9.361833e-01	8.872151e-01
6.653394877396980e-02	8.861140e-01	8.928716e-01
6.692457377396981e-02	8.227167e-01	8.850985e-01
6.731519877396981e-02	7.469449e-01	8.640126e-01
6.770582377396982e-02	6.599383e-01	8.299313e-01
6.809644877396982e-02	5.630057e-01	7.833669e-01
6.848707377396983e-02	4.576050e-01	7.250200e-01
6.887769877396983e-02	3.453215e-01	6.557681e-01
6.926832377396984e-02	2.278440e-01	5.766529e-01
6.965894877396984e-02	1.069395e-01	4.888642e-01
7.004957377396985e-02	-1.557343e-02	3.937226e-01
7.044019877396986e-02	-1.378521e-01	2.926590e-01
7.083082377396986e-02	-2.580574e-01	1.871936e-01
7.122144877396987e-02	-3.743813e-01	7.891263e-02
7.161207377396987e-02	-4.850741e-01	-3.055528e-02
7.200269877396988e-02	-5.884709e-01	-1.395636e-01
7.239332377396988e-02	-6.830167e-01	-2.464728e-01
7.278394877396989e-02	-7.672892e-01	-3.496748e-01
7.317457377396989e-02	-8.400209e-01	-4.476173e-01
7.356519877396990e-02	-9.001180e-01	-5.388273e-01
7.395582377396991e-02	-9.466764e-01	-6.219328e-01
7.434644877396991e-02	-9.789960e-01	-6.956838e-01
7.473707377396992e-02	-9.965905e-01	-7.589712e-01
7.512769877396992e-02	-9.991954e-01	-8.108429e-01
7.551832377396993e-02	-9.867715e-01	-8.505188e-01
7.590894877396993e-02	-9.595056e-01	-8.774020e-01
7.629957377396994e-02	-9.178078e-01	-8.910884e-01
7.669019877396994e-02	-8.623053e-01	-8.913718e-01
7.708082377396995e-02	-7.938330e-01	-8.782483e-01
7.747144877396996e-02	-7.134207e-01	-8.519151e-01
7.786207377396996e-02	-6.222779e-01	-8.127683e-01
7.825269877396997e-02	-5.217755e-01	-7.613968e-01
7.864332377396997e-02	-4.134250e-01	-6.985731e-01
7.903394877396998e-02	-2.988563e-01	-6.252421e-01
7.942457377396998e-02	-1.797925e-01	-5.425070e-01
7.981519877396999e-02	-5.802441e-02	-4.516121e-01
8.020582377396999e-02	6.461640e-02	-3.539245e-01
8.059644877397000e-02	1.862853e-01	-2.509135e-01
8.098707377397001e-02	3.051523e-01	-1.441286e-01
8.137769877397001e-02	4.194295e-01	-3.517583e-02
8.176832377397002e-02	5.273982e-01	7.430600e-02
8.215894877397002e-02	6.274343e-01	1.826702e-01
8.254957377397003e-02	7.180331e-01	2.882869e-01
8.294019877397003e-02	7.978321e-01	3.895674e-01
8.333082377397004e-02	8.656309e-01	4.849885e-01
8.372144877397004e-02	9.204099e-01	5.731150e-01
